Date,High,Low,Open,Close,Volume,Adj Close
2020-08-10,814.5,751.3499755859375,760.0,795.5999755859375,56895213.0,791.2348022460938
2020-08-11,801.8499755859375,768.75,801.0999755859375,778.0,14861526.0,773.7313842773438
2020-08-12,778.0,755.5999755859375,778.0,762.0999755859375,7841540.0,757.9185791015625
2020-08-13,782.9000244140625,754.0999755859375,765.9500122070312,760.25,13741253.0,756.0787353515625
2020-08-14,787.75,752.5499877929688,762.0,771.7999877929688,16276204.0,767.5653686523438
2020-08-17,781.0,765.5,779.0,771.6500244140625,6145819.0,767.416259765625
2020-08-18,779.6500244140625,763.0,772.0,764.8499755859375,5520627.0,760.6535034179688
2020-08-19,772.7000122070312,756.6500244140625,770.0,758.3499755859375,6296055.0,754.1891479492188
2020-08-20,771.75,758.3499755859375,758.3499755859375,762.7000122070312,8167570.0,758.5153198242188
2020-08-21,770.5999755859375,759.0499877929688,768.8499755859375,760.75,4700914.0,756.5759887695312
2020-08-24,767.0,750.25,763.0,751.75,4942344.0,747.6254272460938
2020-08-25,758.0,745.25,756.25,747.75,3424047.0,743.6473388671875
2020-08-26,754.0,744.2000122070312,751.5,748.0,3730702.0,743.89599609375
2020-08-27,764.0,749.9500122070312,750.7999877929688,756.2000122070312,6989194.0,752.0509643554688
2020-08-28,771.0,746.7000122070312,763.0,748.5999755859375,8205618.0,744.49267578125
2020-08-31,755.7000122070312,705.2000122070312,752.0,713.5499877929688,7649137.0,709.6349487304688
2020-09-01,741.0,710.0,713.5499877929688,736.5499877929688,6260037.0,732.5087890625
2020-09-02,748.5,729.2000122070312,739.9500122070312,738.25,5583378.0,734.199462890625
2020-09-03,745.9500122070312,735.0,742.7000122070312,738.5999755859375,3560610.0,734.5475463867188
2020-09-04,750.0,717.0999755859375,733.75,724.5999755859375,7473315.0,720.6243286132812
2020-09-07,733.7999877929688,707.0,728.0,716.75,4688730.0,712.8174438476562
