,Ticker,Latest_Price,Score,PE_Ratio,PEG_Ratio,SMA_150,SMA_200,52_Week_Low,52_Week_High
0,INDUSINDBK.NS,1042.800048828125,83,25.76,0.94,981.07,935.05,485.0,1119.5
1,WIPRO.NS,596.7999877929688,87,31.36,2.16,485.12,451.82,268.0,614.5
